Code,Label,Year,Total number of business entries
1,New South Wales,2020,116277
1,New South Wales,2021,128251
1,New South Wales,2022,151692
1,New South Wales,2023,138094
2,Victoria,2020,98186
2,Victoria,2021,101687
2,Victoria,2022,155772
2,Victoria,2023,114589
3,Queensland,2020,62399
3,Queensland,2021,69333
3,Queensland,2022,83288
3,Queensland,2023,78605
4,South Australia,2020,18317
4,South Australia,2021,19690
4,South Australia,2022,25125
4,South Australia,2023,22648
5,Western Australia,2020,29119
5,Western Australia,2021,33109
5,Western Australia,2022,40617
5,Western Australia,2023,37305
6,Tasmania,2020,5054
6,Tasmania,2021,5350
6,Tasmania,2022,6358
6,Tasmania,2023,5994
7,Northern Territory,2020,2141
7,Northern Territory,2021,2259
7,Northern Territory,2022,2824
7,Northern Territory,2023,2672
8,Australian Capital Territory,2020,4796
8,Australian Capital Territory,2021,5560
8,Australian Capital Territory,2022,6697
8,Australian Capital Territory,2023,6207
